,User agent,Version,OS,Hardware Type,Popularity,Software,Software Type
18,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; xl-103q Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
19,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; Redmi Note 4X Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
20,"Mozilla/5.0 (Linux; U; Android 4.4.3; ru-RU; Lenovo A319 Build/KTU84M) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
21,Nokia302/5.0 (14.53) Profile/MIDP-2.1 Configuration/CLDC-1.1 UCWEB/2.0 (Java; U; MIDP-2.0; en-US; nokia302) U2/1.0.0 UCBrowser/8.9.0.251 U2/1.0.0 Mobile UNTRUSTED/1.0,8.9,--,Mobile - Phone,Average,,
22,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SM-A300F Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
23,"Mozilla/5.0 (Linux; U; Android 4.2.1; ru-RU; SHV-E300S Build/JOP40D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.2.5.932 U3/0.8.0 Mobile Safari/E7FBAF",11.2,Android,Mobile,Average,,
24,"Mozilla/5.0 (Linux; U; Android 7.0; pt-BR; Moto G (4) Build/NPJS25.93-14-13) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 UCBrowser/12.0.0.1088 Mobile Safari/537.36",12.0,Android,Mobile,Average,,
25,"Mozilla/5.0 (Linux; U; Android 5.0.2; ru-RU; SM-G870W Build/LRX22G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
26,"Mozilla/5.0 (Linux; U; Android 8.1.0; en-US; Nexus 6P Build/OPM7.181205.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 UCBrowser/12.11.1.1197 Mobile Safari/537.36",12.0,Android,Mobile - Phone,Average,,
27,"Mozilla/5.0 (Linux; U; Android 4.1.3; ru-RU; SCH-R530M Build/GRK39F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
28,"Mozilla/5.0 (Linux; U; Android 4.2.2; ru-RU; I9606 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
29,"Mozilla/5.0 (Linux; U; Android 7.0; en-US; SM-G935F Build/NRD90M) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.8.976 U3/0.8.0 Mobile Safari/534.30",11.3,Android,Mobile - Phone,Average,,
30,"Mozilla/5.0 (Linux; U; Android 5.0.2; ru-RU; SM-A500G Build/LRX22G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
31,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SM-G530Y Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
32,"Mozilla/5.0 (Linux; U; Android 5.0.2; ru-RU; Lenovo A7600-H Build/LRX22G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
33,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; Lenovo A369i Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
34,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SM-G925F Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
35,UCWEB/2.0 (Java; U; MIDP-2.0; Nokia203/20.37) U2/1.0.0 UCMini/11.0.0.1016 (SpeedMode; Proxy; Android 5.1; MTN-S620 ) U2/1.0.0 Mobile,2.0,Android,Mobile,Average,,
36,NokiaC2-05/2.0 (08.60) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 (Java; U; kau; nokiac2-05) UCBrowser8.3.0.154/69/405/UCWEB Mobile UNTRUSTED/1.0,8.3,--,Mobile - Phone,Average,,
37,"Mozilla/5.0 (Linux; U; Android 5.0.1; en-US; GT-I9505 Build/LRX22C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.9.8.770 U3/0.8.0 Mobile Safari/534.30",10.9,Android,Mobile - Phone,Average,,
38,"Mozilla/5.0 (Linux; U; Android 5.0; ru-RU; SM-J100G Build/LRX21T) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
39,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SCH-I535PP Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
